,maxtemp,power,mintemp,weather,wind
2011-04-07,26,微风,17,多云,无持续风向
2011-04-08,27,微风,18,多云,无持续风向
2011-04-09,28,微风,18,多云,无持续风向
2011-04-10,29,微风,18,多云,无持续风向
2011-04-11,31,微风,18,晴~多云,无持续风向
2011-04-12,28,微风,19,多云,无持续风向
2011-04-13,29,微风,20,多云,无持续风向
2011-04-14,31,微风,19,多云,无持续风向
2011-04-15,31,微风,19,多云,无持续风向
2011-04-16,32,微风~3-4级,21,多云~雷阵雨,无持续风向~北风
2011-04-17,27,微风~3-4级,21,大到暴雨~阵雨,无持续风向~北风
2011-04-18,29,微风,18,多云,无持续风向
2011-04-19,28,微风,18,晴~多云,无持续风向
2011-04-20,32,微风,19,晴~多云,无持续风向
2011-04-21,27,微风,21,多云,无持续风向
2011-04-22,27,微风,18,雷阵雨~阴,无持续风向
2011-04-23,29,微风,18,多云,无持续风向
2011-04-24,29,微风,18,多云,无持续风向
2011-04-25,31,微风,18,多云,无持续风向
2011-04-26,31,微风,20,多云,无持续风向
2011-04-27,31,微风,22,多云,无持续风向
2011-04-28,32,微风,23,多云,无持续风向
2011-04-29,26,微风,22,小雨~阵雨,无持续风向
2011-04-30,28,微风,23,阵雨,无持续风向
2011-05-01,28,微风,23,阵雨,无持续风向
2011-05-02,29,微风,25,阵雨,无持续风向
2011-05-03,27,微风,20,中雨~小到中雨,无持续风向
2011-05-04,23,微风,18,阵雨,无持续风向
2011-05-05,25,微风,20,阵雨,无持续风向
2011-05-06,28,微风,24,阵雨,无持续风向
2011-05-07,30,微风,24,阵雨~多云,无持续风向
2011-05-08,30,微风,24,阵雨,无持续风向
2011-05-09,32,微风,24,多云,无持续风向
2011-05-10,34,微风,26,多云,无持续风向
2011-05-11,31,微风,25,雷阵雨~中到大雨,无持续风向
2011-05-12,32,微风,23,中雨~中到大雨,无持续风向
2011-05-13,25,微风,22,中到大雨,无持续风向
2011-05-14,26,微风,22,雷阵雨,无持续风向
2011-05-15,26,微风,22,阵雨,无持续风向
2011-05-16,27,微风,22,中到大雨~阵雨,无持续风向
2011-05-17,29,微风,20,晴,无持续风向
2011-05-18,31,微风,21,多云,无持续风向
2011-05-19,31,微风,20,晴~多云,无持续风向
2011-05-20,32,微风,23,多云,无持续风向
2011-05-21,31,微风,23,多云~阵雨,无持续风向
2011-05-22,26,微风,21,暴雨,无持续风向
2011-05-23,25,微风,20,阴,无持续风向
2011-05-24,27,微风,20,多云,无持续风向
2011-05-25,28,微风,22,多云,无持续风向
2011-05-26,30,微风,21,晴,无持续风向
2011-05-27,31,微风,23,多云,无持续风向
2011-05-28,33,微风,22,晴,无持续风向
2011-05-29,34,微风,21,晴,无持续风向
2011-05-30,33,微风,23,多云,无持续风向
2011-05-31,34,微风,21,晴,无持续风向
2011-06-01,35,微风,22,晴~多云,无持续风向
2011-06-02,34,微风,26,多云,无持续风向
2011-06-03,33,微风,26,多云,无持续风向
2011-06-04,33,微风,27,多云,无持续风向
2011-06-05,33,微风,27,阴~阵雨,无持续风向
2011-06-06,34,微风,27,阵雨~多云,无持续风向
2011-06-07,33,微风,27,阵雨,无持续风向
2011-06-08,33,微风,26,阵雨,无持续风向
2011-06-09,34,微风,27,阵雨~多云,无持续风向
2011-06-10,35,微风~3-4级,27,多云,无持续风向~东风
2011-06-11,33,微风,26,阵雨,无持续风向
2011-06-12,29,微风,25,雷阵雨~阵雨,无持续风向
2011-06-13,32,微风,26,雷阵雨~多云,无持续风向
2011-06-14,34,微风,26,雷阵雨~多云,无持续风向
2011-06-15,34,微风,26,阵雨,无持续风向
2011-06-16,30,微风,23,中到大雨~暴雨,无持续风向
2011-06-17,29,3-4级,25,大到暴雨~中到大雨,东南风
2011-06-18,31,微风,26,雷阵雨~阵雨,无持续风向
2011-06-19,33,微风,25,多云,无持续风向
2011-06-20,35,微风,26,多云,无持续风向
2011-06-21,35,微风,25,多云,无持续风向
2011-06-22,32,3-4级~4-5级,24,中雨~大到暴雨,东北风~东南风
2011-06-23,30,3-4级~微风,25,中雨,东南风~无持续风向
2011-06-24,33,微风,26,阵雨,无持续风向
2011-06-25,34,微风,25,阵雨,无持续风向
2011-06-26,29,微风,24,大到暴雨~雷阵雨,无持续风向
2011-06-27,32,微风,26,阵雨~中雨,无持续风向
2011-06-28,33,微风,25,雷阵雨~中到大雨,无持续风向
2011-06-29,29,微风,25,暴雨,无持续风向
2011-06-30,29,微风,25,中到大雨~中雨,无持续风向
2011-07-01,31,微风,26,雷阵雨~多云,无持续风向
2011-07-02,34,微风,26,多云~晴,无持续风向
2011-07-03,35,微风,26,晴,无持续风向
2011-07-04,35,微风,26,晴,无持续风向
2011-07-05,35,微风,26,晴,无持续风向
2011-07-06,35,微风,26,晴,无持续风向
2011-07-07,35,微风,27,晴,无持续风向
2011-07-08,35,微风,26,晴,无持续风向
2011-07-09,35,微风,27,多云,无持续风向
2011-07-10,33,微风,25,雷阵雨~阴,无持续风向
2011-07-11,32,微风,24,雷阵雨,无持续风向
2011-07-12,33,微风,25,雷阵雨,无持续风向
2011-07-13,33,微风,26,雷阵雨,无持续风向
2011-07-14,33,微风,26,雷阵雨,无持续风向
2011-07-15,30,微风,25,大到暴雨~暴雨,无持续风向
2011-07-16,28,微风,25,暴雨~大雨,无持续风向
2011-07-17,30,微风,26,大雨~中雨,无持续风向
2011-07-18,33,微风,26,中雨~中到大雨,无持续风向
2011-07-19,32,微风,25,雷阵雨~阵雨,无持续风向
2011-07-20,31,微风,25,大雨~中到大雨,无持续风向
2011-07-21,32,微风,25,雷阵雨~阵雨,无持续风向
2011-07-22,34,微风,26,多云,无持续风向
2011-07-23,35,微风,26,晴,无持续风向
2011-07-24,35,微风,26,晴,无持续风向
2011-07-25,36,微风,26,晴,无持续风向
2011-07-26,35,微风,27,多云~晴,无持续风向
2011-07-27,35,微风,26,晴,无持续风向
2011-07-28,35,微风,25,晴~雷阵雨,无持续风向
2011-07-29,32,3-4级,25,中雨,东风~东北风
2011-07-30,33,微风,26,阵雨~多云,无持续风向
2011-07-31,33,微风,25,阵雨,无持续风向
2011-08-01,33,微风,24,阵雨~多云,无持续风向
2011-08-02,35,微风,26,多云~晴,无持续风向
2011-08-03,36,微风,25,晴,无持续风向
2011-08-04,36,微风,25,晴,无持续风向
2011-08-05,36,微风,26,晴,无持续风向
2011-08-06,35,微风,26,多云,无持续风向
2011-08-07,34,微风,26,多云,无持续风向
2011-08-08,34,微风,27,雷阵雨~阵雨,无持续风向
2011-08-09,30,微风,25,中到大雨,无持续风向
2011-08-10,30,微风,25,中雨~雷阵雨,无持续风向
2011-08-11,30,微风,26,阵雨,无持续风向
2011-08-12,34,微风,26,阵雨~多云,无持续风向
2011-08-13,35,微风,26,晴,无持续风向
2011-08-14,35,微风,26,晴,无持续风向
2011-08-15,35,微风,25,晴,无持续风向
2011-08-16,35,微风,26,晴~多云,无持续风向
2011-08-17,35,微风,26,晴,无持续风向
2011-08-18,35,微风,26,多云,无持续风向
2011-08-19,35,微风,25,多云~雷阵雨,无持续风向
2011-08-20,35,微风,25,阵雨~多云,无持续风向
2011-08-21,35,微风,25,多云~晴,无持续风向
2011-08-22,35,微风,25,雷阵雨~多云,无持续风向
2011-08-23,35,微风,25,多云,无持续风向
2011-08-24,34,微风,26,雷阵雨,无持续风向
2011-08-25,34,微风,25,雷阵雨~多云,无持续风向
2011-08-26,35,微风,26,多云,无持续风向
2011-08-27,35,微风,25,晴,无持续风向
2011-08-28,35,微风,26,晴,无持续风向
2011-08-29,36,微风,26,晴~多云,无持续风向
2011-08-30,36,微风,26,晴,无持续风向
2011-08-31,35,微风,25,多云~雷阵雨,无持续风向
2011-09-01,29,微风,24,中到大雨~大到暴雨,无持续风向
2011-09-02,30,微风,25,大雨,无持续风向
2011-09-03,31,微风,26,中雨~阵雨,无持续风向
2011-09-04,32,微风,25,阴~多云,无持续风向
2011-09-05,34,微风,26,多云,无持续风向
2011-09-06,33,微风,25,多云,无持续风向
2011-09-07,33,微风,25,阵雨~多云,无持续风向
2011-09-08,35,微风,25,多云,无持续风向
2011-09-09,35,微风,25,多云,无持续风向
2011-09-10,33,微风,25,阵雨~多云,无持续风向
2011-09-11,33,微风,24,雷阵雨~阵雨,无持续风向
2011-09-12,33,微风,24,阵雨~多云,无持续风向
2011-09-13,33,微风,25,多云~阵雨,无持续风向
2011-09-14,33,微风,25,多云,无持续风向
2011-09-15,33,微风,25,雷阵雨~阴,无持续风向
2011-09-16,33,微风,24,多云,无持续风向
2011-09-17,34,微风,24,阵雨,无持续风向
2011-09-18,35,微风,24,多云,无持续风向
2011-09-19,31,微风,21,阵雨~多云,无持续风向
2011-09-20,30,3-4级,20,晴,北风
2011-09-21,29,微风,20,晴,无持续风向
2011-09-22,29,微风,21,晴,无持续风向
2011-09-23,30,微风,21,晴~多云,无持续风向
2011-09-24,29,微风,22,阵雨,无持续风向
2011-09-25,28,微风,23,阵雨~多云,无持续风向
2011-09-26,31,微风,23,多云,无持续风向
2011-09-27,33,微风,24,晴,无持续风向
2011-09-28,34,微风~3-4级,23,晴~阵雨,无持续风向~东风
2011-09-29,28,4-5级,21,中到大雨~大到暴雨,东北风~东风
2011-09-30,30,微风,24,中雨~阵雨,无持续风向
2011-10-01,30,微风,23,多云,无持续风向
2011-10-02,30,微风,22,多云,无持续风向
2011-10-03,26,3-4级,20,阵雨,东北风
2011-10-04,25,3-4级,19,阵雨,北风
2011-10-05,26,微风,20,多云~阵雨,无持续风向
2011-10-06,28,微风,21,多云,无持续风向
2011-10-07,27,微风,21,多云,无持续风向
2011-10-08,30,微风,21,晴,无持续风向
2011-10-09,31,微风,21,晴~多云,无持续风向
2011-10-10,32,微风,22,多云~阵雨,无持续风向
2011-10-11,29,微风,22,阵雨,无持续风向
2011-10-12,27,微风,23,阵雨~中到大雨,无持续风向
2011-10-13,26,微风,22,大雨,无持续风向
2011-10-14,26,微风,20,阵雨~多云,无持续风向
2011-10-15,27,微风,19,多云,无持续风向
2011-10-16,29,微风,18,多云,无持续风向
2011-10-17,29,微风,17,晴,无持续风向
2011-10-18,29,微风,16,晴,无持续风向
2011-10-19,30,微风,18,晴,无持续风向
2011-10-20,29,微风,18,晴,无持续风向
2011-10-21,29,微风,17,晴,无持续风向
2011-10-22,30,微风,19,晴,无持续风向
2011-10-23,30,微风,21,多云,无持续风向
2011-10-24,29,微风,19,多云,无持续风向
2011-10-25,26,微风,17,多云,无持续风向
2011-10-26,26,微风,19,多云,无持续风向
2011-10-27,26,微风,20,多云,无持续风向
2011-10-28,27,微风,18,多云,无持续风向
2011-10-29,27,微风,18,多云,无持续风向
2011-10-30,27,微风,19,多云,无持续风向
2011-10-31,27,微风,18,多云,无持续风向
2011-11-01,28,微风,18,多云,无持续风向
2011-11-02,28,微风,19,多云,无持续风向
2011-11-03,27,微风,19,多云~小雨,无持续风向
2011-11-04,30,微风,22,多云,无持续风向
2011-11-05,30,微风,22,多云,无持续风向
2011-11-06,31,微风,23,多云,无持续风向
2011-11-07,31,微风,21,多云~小雨,无持续风向
2011-11-08,25,微风,18,大雨,无持续风向
2011-11-09,17,4-5级,15,大雨~中雨,北风
2011-11-10,22,3-4级,15,多云,东北风
2011-11-11,23,微风,16,多云,无持续风向
2011-11-12,25,微风,17,晴~多云,无持续风向
2011-11-13,26,微风,16,晴~多云,无持续风向
2011-11-14,27,微风,17,晴~多云,无持续风向
2011-11-15,28,微风,20,多云,无持续风向
2011-11-16,28,微风,19,多云,无持续风向
2011-11-17,27,微风,21,小雨~中雨,无持续风向
2011-11-18,24,微风,21,小雨~小到中雨,无持续风向
2011-11-19,27,微风,17,阴~多云,无持续风向
2011-11-20,26,微风,15,晴,无持续风向
2011-11-21,22,微风,17,多云~阴,无持续风向
2011-11-22,23,微风,16,阴~多云,无持续风向
2011-11-23,25,微风,15,晴,无持续风向
2011-11-24,25,微风,16,晴~多云,无持续风向
2011-11-25,24,微风,16,阴,无持续风向
2011-11-26,22,微风,15,小雨~多云,无持续风向
2011-11-27,25,微风,14,多云,无持续风向
2011-11-28,27,微风,14,晴,无持续风向
2011-11-29,27,微风,16,晴~多云,无持续风向
2011-11-30,21,3-4级,13,多云~阴,北风
2011-12-01,18,4-5级~3-4级,9,多云~晴,北风
2011-12-02,17,3-4级~微风,6,晴,北风~无持续风向
2011-12-03,17,微风,5,晴,无持续风向
2011-12-04,21,微风,10,晴~多云,无持续风向
2011-12-05,22,微风,11,晴~多云,无持续风向
2011-12-06,21,微风,16,阴,无持续风向
2011-12-07,25,微风~3-4级,15,多云~小雨,无持续风向~北风
2011-12-08,15,3-4级,9,阴,北风
2011-12-09,14,4-5级,6,阴~多云,北风
2011-12-10,16,3-4级,4,多云~晴,北风
2011-12-11,16,3-4级~微风,4,晴,北风~无持续风向
2011-12-12,17,微风,8,晴,无持续风向
2011-12-13,20,微风,11,晴~多云,无持续风向
2011-12-14,22,微风,12,多云~阴,无持续风向
2011-12-15,19,3-4级~4-5级,10,多云,北风
2011-12-16,17,4-5级,9,多云,北风
2011-12-17,18,3-4级~微风,8,多云~晴,北风~无持续风向
2011-12-18,18,微风,7,多云~晴,无持续风向
2011-12-19,20,微风,11,晴~多云,无持续风向
2011-12-20,21,微风,13,晴~多云,无持续风向
2011-12-21,20,微风,12,阴,无持续风向
2011-12-22,19,3-4级,10,多云,北风
2011-12-23,16,3-4级,5,晴,北风
2011-12-24,16,微风,5,晴,无持续风向
2011-12-25,16,微风,6,晴,无持续风向
2011-12-26,18,微风,10,多云,无持续风向
2011-12-27,20,微风,10,多云,无持续风向
2011-12-28,22,微风,12,多云,无持续风向
2011-12-29,23,微风,12,多云~阴,无持续风向
2011-12-30,20,3-4级,12,多云,北风
2011-12-31,19,微风,10,多云,无持续风向
2012-01-01,21,微风,10,多云,无持续风向
2012-01-02,18,微风,10,多云,无持续风向
2012-01-03,18,微风~3-4级,8,阴~小雨,无持续风向~北风
2012-01-04,10,3-4级,7,小雨,北风
2012-01-05,7,3-4级,5,小雨,北风
2012-01-06,9,微风,5,小雨~阴,无持续风向
2012-01-07,14,微风,9,阴,无持续风向
2012-01-08,17,微风,9,多云,无持续风向
2012-01-09,19,微风,9,多云,无持续风向
2012-01-10,20,微风,9,多云,无持续风向
2012-01-11,17,微风,11,阴,无持续风向
2012-01-12,14,微风,10,小雨,无持续风向
2012-01-13,15,微风,11,小雨,无持续风向
2012-01-14,17,微风,13,小雨~中到大雨,无持续风向
2012-01-16,16,微风,11,阴~多云,无持续风向
2012-01-17,18,微风,11,阴~多云,无持续风向
2012-01-18,21,微风,12,多云,无持续风向
2012-01-19,20,微风,16,阴,无持续风向
2012-01-20,17,微风,12,小雨,无持续风向
2012-01-21,14,3-4级,7,小雨~小到中雨,北风
2012-01-22,7,3-4级,4,小雨,北风
2012-01-23,7,3-4级,5,小雨,北风
2012-01-24,7,3-4级,5,小雨,北风
2012-01-25,9,3-4级~微风,4,阴,北风~无持续风向
2012-01-26,8,微风,4,小雨~阴,无持续风向
2012-01-27,11,微风,7,阴~多云,无持续风向
2012-01-28,16,微风,11,雾,无持续风向
2012-01-29,13,3-4级,9,阴,北风
2012-01-30,16,微风,8,多云,无持续风向
2012-01-31,18,微风,10,多云,无持续风向
2012-02-01,19,微风,11,多云,无持续风向
2012-02-02,14,3-4级,10,阴,北风
2012-02-03,13,微风,9,小雨~阴,无持续风向
2012-02-04,16,微风,11,阴,无持续风向
2012-02-05,21,微风,14,阴~雾,无持续风向
2012-02-06,23,微风~3-4级,12,小雨,无持续风向~北风
2012-02-07,17,3-4级,8,多云,北风
2012-02-08,14,微风,10,阴,无持续风向
2012-02-09,14,微风,7,阴,无持续风向
2012-02-10,10,3-4级,7,小雨,北风~东北风
2012-02-11,13,微风,6,阴,无持续风向
2012-02-12,16,微风,9,阴,无持续风向
2012-02-13,23,微风,14,多云~阴,无持续风向
2012-02-14,26,微风,18,多云~雾,无持续风向
2012-02-15,26,微风,14,多云~小雨,无持续风向
2012-02-16,14,3-4级,10,小雨,北风
2012-02-17,13,3-4级,8,阴,北风
2012-02-18,16,3-4级,8,阴,北风
2012-02-19,19,微风,10,多云,无持续风向
2012-02-20,19,微风,14,多云,无持续风向
2012-02-21,23,微风,16,阴,无持续风向
2012-02-22,24,微风,18,小雨,无持续风向
2012-02-23,23,微风,19,小雨,无持续风向
2012-02-24,25,微风~3-4级,16,小雨,无持续风向~东北风
2012-02-25,15,3-4级,10,小雨,北风
2012-02-26,12,3-4级,9,阴,北风
2012-02-27,9,微风,6,小雨~小到中雨,无持续风向
2012-02-28,12,微风,7,小雨~阴,无持续风向
2012-02-29,17,微风,14,小雨,无持续风向
2012-03-01,18,微风,12,雾,无持续风向
2012-03-02,23,微风,17,雾,无持续风向
2012-03-03,18,微风,16,阴,无持续风向
2012-03-04,23,微风,19,小雨~中到大雨,无持续风向
2012-03-05,23,微风,19,中雨,无持续风向
2012-03-06,25,微风,22,中雨~小雨,无持续风向
2012-03-07,18,微风,16,小雨,无持续风向
2012-03-08,15,3-4级,11,小雨,北风
2012-03-09,13,3-4级,9,小雨,北风
2012-03-10,13,3-4级,9,阴~小雨,北风
2012-03-11,11,微风,8,小雨,无持续风向
2012-03-12,14,微风,10,阴,无持续风向
2012-03-13,15,微风,11,小雨~阴,无持续风向
2012-03-14,17,微风,13,小雨~阴,无持续风向
2012-03-15,21,微风,16,阴~小雨,无持续风向
2012-03-16,24,微风,18,小雨,无持续风向
2012-03-17,25,微风,20,小雨,无持续风向
2012-03-18,27,微风,20,阴,无持续风向
2012-03-19,24,微风,19,小雨,无持续风向
2012-03-20,24,微风,18,小雨,无持续风向
2012-03-21,24,微风,18,阴,无持续风向
2012-03-22,26,微风,19,阴~阵雨,无持续风向
2012-03-23,22,3-4级,12,小雨~阵雨,北风
2012-03-24,22,3-4级~微风,11,晴,北风~无持续风向
2012-03-25,24,微风,13,晴~多云,无持续风向
2012-03-26,25,微风,12,晴~多云,无持续风向
2012-03-27,26,微风,14,晴~多云,无持续风向
2012-03-28,27,微风,18,晴~多云,无持续风向
2012-03-29,26,微风,18,多云,无持续风向
2012-03-30,28,微风~3-4级,16,多云~阵雨,无持续风向~北风
2012-03-31,25,3-4级,16,多云~晴,北风
2012-04-01,25,小于3级,23,中雨,南风
2012-04-02,27,小于3级,21,中雨,南风
2012-04-03,24,小于3级,24,中雨,南风
2012-04-04,27,小于3级,21,中雨,南风
2012-04-05,27,小于3级,21,中雨,南风
2012-04-06,26,小于3级,22,中雨,南风
2012-04-07,27,小于3级,21,中雨,南风
2012-04-08,25,小于3级,23,中雨,南风
2012-04-09,27,小于3级,21,中雨,南风
2012-04-10,26,小于3级,22,中雨,南风
2012-04-11,25,小于3级,23,中雨,南风
2012-04-12,26,小于3级,22,中雨,南风
2012-04-13,29,小于3级,23,雷阵雨转阵雨,东风
2012-04-14,30,小于3级,23,多云转雷阵雨,东南风
2012-04-15,26,小于3级,23,暴雨,南风
2012-04-16,28,小于3级,23,雷阵雨转中到大雨,北风
2012-04-17,25,小于3级,22,中雨转大雨,东南风
2012-04-18,24,小于3级,20,暴雨,南风
2012-04-19,24,小于3级,21,暴雨,东南风
2012-04-20,24,小于3级,21,暴雨,西北风
2012-04-21,26,小于3级,19,阴转多云,西北风
2012-04-22,31,小于3级,21,多云,南风
2012-04-23,29,小于3级,23,阵雨转雷阵雨,东南风
2012-04-24,25,小于3级,22,阵雨转暴雨,南风
2012-04-25,28,3-4级转小于3级,22,雷阵雨转多云,北风
2012-04-26,28,小于3级,23,多云转阵雨,北风
2012-04-27,24,小于3级,20,大雨转中雨,南风
2012-04-28,29,小于3级,22,雷阵雨,东南风
2012-04-29,30,小于3级,23,多云转雷阵雨,东南风
2012-04-30,31,小于3级,25,雷阵雨转中到大雨,东南风
2012-05-01,32,小于3级,25,雷阵雨,东南风
2012-05-02,32,小于3级,25,阵雨转多云,北风
2012-05-03,31,小于3级,25,雷阵雨,东北风
2012-05-04,33,小于3级,24,雷阵雨,南风
2012-05-05,33,小于3级,24,多云,东北风
2012-05-06,33,小于3级,24,雷阵雨转多云,东风
2012-05-07,34,小于3级,25,多云转晴,东南风
2012-05-08,35,小于3级,26,晴,东南风
2012-05-09,32,小于3级,26,多云转雷阵雨,东风
2012-05-10,31,小于3级,25,中雨转雷阵雨,东南风
2012-05-11,30,小于3级,25,雷阵雨,东风
2012-05-12,32,小于3级,25,雷阵雨,南风
2012-05-13,30,小于3级,25,雷阵雨转暴雨,北风
2012-05-14,30,小于3级,25,大雨转雷阵雨,南风
2012-05-15,33,小于3级,24,雷阵雨,北风
2012-05-16,30,小于3级,24,雷阵雨,东北风
2012-05-17,29,小于3级,25,大雨,东北风
2012-05-18,31,小于3级,24,阵雨转大雨,东风
2012-05-19,29,小于3级,24,中雨转雷阵雨,北风
2012-05-20,34,小于3级,24,多云转晴,北风
2012-05-21,32,小于3级,23,多云,东北风
2012-05-22,31,小于3级,24,多云,北风
2012-05-23,32,小于3级,23,多云,东南风
2012-05-24,32,小于3级,22,多云,北风
2012-05-25,31,小于3级,24,多云转雷阵雨,东风
2012-05-26,29,小于3级,23,雷阵雨转大雨,南风
2012-05-27,31,小于3级,24,雷阵雨,东北风
2012-05-28,32,小于3级,25,阵雨转多云,东南风
2012-05-29,30,小于3级,24,阵雨转中雨,南风
2012-05-30,31,小于3级,24,阵雨转多云,东南风
2012-05-31,31,小于3级,24,多云,东风
2012-06-01,31,小于3级,23,多云,西北风
2012-06-02,31,小于3级,24,多云,东北风
2012-06-03,32,小于3级,24,多云,西南风
2012-06-04,31,小于3级,24,多云,南风
2012-06-05,33,小于3级,24,多云,南风
2012-06-06,35,小于3级,26,多云,南风
2012-06-07,35,小于3级,25,多云,东南风
2012-06-08,33,小于3级,25,阵雨,南风
2012-06-09,34,小于3级,27,多云,西南风
2012-06-10,33,小于3级,26,雷阵雨,南风
2012-06-11,30,小于3级,25,暴雨,西北风
2012-06-12,32,小于3级,26,阵雨转雷阵雨,西南风
2012-06-13,31,小于3级,25,阵雨转雷阵雨,东南风
2012-06-14,33,小于3级,24,阵雨,南风
2012-06-15,32,小于3级,25,雷阵雨,西南风
2012-06-16,29,小于3级,24,大雨转暴雨,东风
2012-06-17,29,小于3级,24,中雨转中到大雨,东南风
2012-06-18,32,3-4级转小于3级,26,阵雨转多云,东北风
2012-06-19,34,小于3级,26,多云转阵雨,北风
2012-06-20,29,小于3级,25,雷阵雨转大雨,西南风
2012-06-21,30,小于3级,25,暴雨转中到大雨,东南风
2012-06-22,31,小于3级,25,阵雨转中雨,东北风
2012-06-23,31,小于3级,25,雷阵雨,东风
2012-06-24,31,小于3级,25,中雨,东南风
2012-06-25,32,小于3级,26,雷阵雨,南风
2012-06-26,33,小于3级,26,阵雨转多云,东南风
2012-06-27,34,小于3级,26,多云,南风
2012-06-28,35,小于3级转3-4级,25,多云,南风
2012-06-29,29,3-4级转5-6级,24,阵雨转暴雨,东风
2012-06-30,32,3-4级转小于3级,25,阵雨,东风
2012-07-01,35,小于3级,25,多云,东南风
2012-07-02,34,小于3级,24,多云,南风
2012-07-03,34,小于3级,24,多云,南风
2012-07-04,33,小于3级,24,多云转雷阵雨,东北风
2012-07-05,32,小于3级,25,阵雨,东南风
2012-07-06,33,小于3级,25,阵雨,西南风
2012-07-07,33,小于3级,25,阵雨,东南风
2012-07-08,34,小于3级,25,多云,南风
2012-07-09,35,小于3级,26,晴,南风
2012-07-10,35,小于3级,26,晴,东南风
2012-07-11,35,小于3级,26,晴,东南风
